mouse_name,eid
SWC_AY_006,cccf0a2f-9921-4c17-bb78-dd210cec5619
SWC_AY_006,b2c60075-433c-407d-98c1-5c107985c43d
SWC_AY_006,5af8e109-6e6a-4584-ab63-8a9982bd0abf
SWC_AY_006,a95342b6-34e0-4986-81c9-3da3b2d3d552
SWC_AY_006,8a951276-7133-44a3-acd8-f7e973da1114
SWC_AY_007,8098cbe5-f511-40a5-88be-3f68315a5002
SWC_AY_007,f5f6e504-9de4-4fb7-bfd3-394700584606
SWC_AY_007,51f4610a-0ed4-4396-9717-5ecf036b2327
SWC_AY_007,2b200371-40d5-465e-9c5e-8fa030684a6a
SWC_AY_007,5a7ba1be-0f0d-4687-87fe-476bf8eaf6b7
SWC_AY_007,511545f8-6373-4f17-956e-b8c4cfe03e30
SWC_AY_007,c1b922fd-0aa9-4a23-a2e3-4fbfa1fc279c
SWC_AY_007,c1ca75b0-2fa1-4137-939a-9c703215c2dd
SWC_AY_007,40e3f7c5-b5c5-4c02-8513-6a5eeeae40bf
SWC_AY_007,52f0b1a0-9ccd-4bc1-ba06-d58b1bc243d8
SWC_AY_007,dddd0aec-4f60-459b-8bd4-a882d5442360
SWC_AY_007,3a6cec7c-abda-46a5-96d8-fd5179407fef
SWC_AY_007,953a7f4a-35a0-4716-8e61-edf9279527e7
SWC_AY_007,60f5c046-ce09-43a4-a3c1-6e8f95c90bbf
SWC_AY_007,64a7a172-2878-47fb-8a54-3d09a30f53f4
SWC_AY_007,e9f5dab6-e3ec-42cb-8f60-eb3ce977e4a0
SWC_AY_007,0bc0259f-2d32-4b9d-8688-0c6fed1ece26
SWC_AY_007,8cd906b4-adce-48a6-aa10-8a519b0d3776
SWC_AY_007,5cb15a48-be27-4dbf-9955-0f359e6ff881
SWC_AY_007,01d1101e-3df8-4ef6-aa8e-f872fadd248c
SWC_AY_007,c203fef2-de0c-4d7e-8322-2c137a279964
SWC_AY_007,1f416b84-a1b7-4ada-99bf-2df75c6da6ec
SWC_AY_007,daeea28d-5bdb-418e-a705-c030d099044f
SWC_AY_007,d4690195-3808-4d4f-be51-150b65084862
SWC_AY_007,03b035c5-d5e4-4c92-8626-4f60778e6ad5
SWC_AY_007,cee5ead2-d48f-4917-a55e-2aeb32433d1d
SWC_AY_007,ec55ceeb-ae6d-4f5d-8241-ed923f9f83b6
SWC_AY_007,e9f6ea56-f666-4902-aae3-9b90de65ee30
SWC_AY_007,a22638c1-4d22-4c59-97f7-a2fef1246a02
SWC_AY_007,eb968004-5d1b-413a-a8f3-ab33eab3378b
SWC_AY_007,46564890-1ec8-474c-9d0a-443e8fe0645c
SWC_AY_007,27e3b859-d178-4bf4-a6bc-1a57c90e8313
SWC_AY_007,8993f813-a886-49b3-8457-ba5aab8f6200
