,eid,has_photometry
178,127eb687-b556-47ca-8554-b1b35994824f,True
179,4a6a9b6a-9538-4dff-8613-e7449435c93e,True
180,11a2ec80-850c-4a9d-bebc-34859f922652,True
181,56893254-9298-4e87-a1d7-3dd33fdf2bbb,True
182,e3701be3-84ce-47f0-a554-5f41e1d03cf1,True
183,2af848bc-863a-4528-a97a-54873866ba97,True
184,712804b0-c422-4121-a4de-c5288c84af92,True
185,43d3df4c-2ecd-4ed0-ad19-eaab41656504,True
186,0b7e0ec3-c73a-4393-b4ee-08fe075c3bff,True
187,d13ef6e3-2107-41ed-80c4-1bef80123118,True
188,ffc6506e-4d17-4748-a6c9-889c984a4d10,True
189,4a7d2bdd-0895-47c9-91da-d65cf311183b,True
190,e70a9079-5999-43ac-a8a6-6ca3f6266e9c,True
191,af11ea8b-767e-44ad-8500-ff7a5a164c63,True
192,ce48fb7d-4107-4be9-97dd-1ebf543805d2,True
193,b553d630-dafb-4c1f-9477-9556b3b20f75,True
194,29f65ec8-4395-4edb-af0c-b676cb22eff8,True
195,2d1f7152-463f-4d50-8b35-635483059268,True
196,b66db20f-4fad-4362-be55-cf50f4b343f6,False
197,2fef9971-cdc6-421d-a34d-e5ed1d601134,True
198,e1d95d70-4d91-44f7-b5d6-95bb28452468,True
199,447a1fcb-c057-4f08-8f83-37ac7871acd0,True
200,5ba72ab1-f8e0-43cc-93b2-0bf327b7ab8d,True
201,ac3d2ea7-cf09-4349-9af4-2afc608533e5,True
202,6c1757aa-1248-435d-a921-484d33262a7f,True
203,263f39e8-9a7c-418b-9ab8-488486a241b6,True
204,75647cee-5577-4aca-96a3-362b50a16cf8,True
205,5ac60f45-cbf9-4946-ab64-25264d30b122,True
206,c4ed46cd-0618-4a41-91e2-f716e834b5f6,True
207,447ed11c-e8b9-49b9-b8e7-b56112612d3f,True
208,ac7553db-9723-4c78-91c8-24612cd8a491,True
209,3fae9b39-d41a-4d50-a0c3-c4d4e2fc4fa9,True
210,3701bc87-a346-42ed-a295-c944148d3d40,True
211,f346a32f-3dea-489f-87b4-c4a197aee89d,True
212,fddb6b95-034b-4ab4-b883-4e4f6af38115,True
213,0f93589a-a806-41aa-9947-c55843cf258c,True
214,e19de0bd-ecba-491b-9fb1-dc4033217d70,True
215,ec177572-7e02-4fe6-8cba-e44e24141e44,True
216,9fa3c9a2-7987-4376-b9aa-5a3a492bbbf6,True
217,16c6eeb3-5a84-4418-a3e7-d91dc9592a6a,True
218,56380394-ea9d-49ad-8160-16bd6521d5bd,True
219,4774f467-2989-4e70-bba1-8568f7a954ce,True
220,ae461059-d5c7-4b69-bb8f-9dac7cb70469,True
221,a478cb4f-a119-4fea-b5db-2bf91b61708b,True
