,eid,pid,left_video,right_video
244,b658bc7d-07cd-4203-8a25-7b16b549851b,ecde7e20-f135-47dd-8f96-adac49e4942e,True,False
253,d23a44ef-1402-4ed7-97f5-47e9a7a504d9,ce99545f-c6a5-4d53-8b68-0ceb78bd942e,True,True
254,d23a44ef-1402-4ed7-97f5-47e9a7a504d9,dab512bd-a02d-4c1f-8dbc-9155a163efc0,True,True
255,c3d9b6fb-7fa9-4413-a364-92a54df0fc5d,cab81176-36cd-4c37-9353-841e85027d36,True,True
256,c3d9b6fb-7fa9-4413-a364-92a54df0fc5d,d06f4b61-42c1-4a8d-a2a5-c1cf8f7d0e47,True,True
257,aa20388b-9ea3-4506-92f1-3c2be84b85db,19c9caea-2df8-4097-92f8-0a2bad055948,True,False
258,aa20388b-9ea3-4506-92f1-3c2be84b85db,c2184312-2421-492b-bbee-e8c8e982e49e,True,False
261,54238fd6-d2d0-4408-b1a9-d19d24fd29ce,f26a6ab1-7e37-4f8d-bb50-295c056e1062,True,True
265,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,63517fd4-ece1-49eb-9259-371dc30b1dd6,True,True
266,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,ca5404f7-297c-40f1-bbf0-5ac0a63e24f8,True,True
271,9fe512b8-92a8-4642-83b6-01158ab66c3c,a3ebc7f4-813a-4f06-a33e-9825c878f9c2,True,False
272,9fe512b8-92a8-4642-83b6-01158ab66c3c,a4d9d9d5-6ea3-4234-aa28-e064e83626fa,True,False
275,e012d3e3-fdbc-4661-9ffa-5fa284e4e706,2400a2fa-0335-480b-ac8d-a478171f3a55,True,True
276,e012d3e3-fdbc-4661-9ffa-5fa284e4e706,cde137a5-7a93-4968-ab61-5aedbd9ce3fb,True,True
277,948fd27b-507b-41b3-bdf8-f9f5f0af8e0b,41dc1107-fbcb-4174-a262-19928c355018,True,False
278,948fd27b-507b-41b3-bdf8-f9f5f0af8e0b,b939cc85-6028-404a-995d-28c8405a07db,True,False
284,90e524a2-aa63-47ce-b5b8-1b1941a1223a,c736dc60-0726-410d-8419-cb6ea025d5b1,True,True
286,58c4bf97-ec3b-45b4-9db4-d5d9515d5b00,46cd9c0a-39de-4aeb-90a6-86a2fda0b1a4,True,False
295,f9860a11-24d3-452e-ab95-39e199f20a93,b73ef9cf-462c-4de3-ae61-5907790ebd0e,True,True
296,f9860a11-24d3-452e-ab95-39e199f20a93,df7d2ca7-068b-4df2-9782-8f6bb7d67f18,True,True
298,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,bef552f5-efd8-4e98-8467-d54ac7c4ef41,True,False
299,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,c17772a9-21b5-49df-ab31-3017addea12e,True,False
303,c6db3304-c906-400c-aa0f-45dd3945b2ea,1e104bf4-7a24-4624-a5b2-c2c8289c0de7,True,False
306,dac3a4c1-b666-4de0-87e8-8c514483cacf,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,True,False
307,dac3a4c1-b666-4de0-87e8-8c514483cacf,eb04cc7c-7c10-4e7f-8593-9c3b9b6986f5,True,False
308,875c1e5c-f7ec-45ac-ab82-ecfe7276a707,b33e4298-a735-4781-8dea-d7203b4137fb,True,False
309,875c1e5c-f7ec-45ac-ab82-ecfe7276a707,d151b391-e6e4-4daf-bd9c-191f4ad837b4,True,False
310,81a1dca0-cc90-47c5-afe3-c277319c47c8,0f306cdc-878a-4ea0-9e91-b97736731637,True,False
311,81a1dca0-cc90-47c5-afe3-c277319c47c8,8386f396-0a69-48b5-98d4-18801066ea76,True,False
319,a4747ac8-6a75-444f-b99b-696fff0243fd,9b3ad89a-177f-4242-9a96-2fd98721e47f,True,False
325,5d6aa933-4b00-4e99-ae2d-5003657592e9,61ed1a53-2f33-4a83-82ba-ec7dfa65bf60,True,False
326,5d6aa933-4b00-4e99-ae2d-5003657592e9,6728ddac-63ba-4e63-9884-395c7c16c7a3,True,False
328,746d1902-fa59-4cab-b0aa-013be36060d5,39883ded-f5a2-4f4f-a98e-fb138eb8433e,True,True
329,746d1902-fa59-4cab-b0aa-013be36060d5,e31b4e39-e350-47a9-aca4-72496d99ff2a,True,True
338,d0ea3148-948d-4817-94f8-dcaf2342bbbe,36362f75-96d8-4ed4-a728-5e72284d0995,True,True
341,2c44a360-5a56-4971-8009-f469fb59de98,688606f8-9733-46f2-8331-b2dd84c5d385,True,True
342,2c44a360-5a56-4971-8009-f469fb59de98,eab03c6e-bf98-48d2-8a0c-1887f34dd554,True,True
343,3f6e25ae-c007-4dc3-aa77-450fd5705046,be95fb3b-d607-409a-968e-98a3e9bcb577,True,False
345,0b7ee1b6-42db-46cd-a465-08f531366187,b8dbd3af-a589-41e4-878c-3372eaa1a8f6,True,False
346,a4a74102-2af5-45dc-9e41-ef7f5aed88be,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,True,True
347,a4a74102-2af5-45dc-9e41-ef7f5aed88be,a5f2ec22-0ff3-4249-bd2f-6247c3990e53,True,True
348,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,5a4740a3-8e93-495d-b6cf-83dccba01d7a,True,True
349,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,f4bd76a6-66c9-41f3-9311-6962315f8fc8,True,True
350,d0c91c3c-8cbb-4929-8657-31f18bffc294,664de6d9-bba2-424b-b76c-bb61900c015f,True,False
351,6f6d2c8e-28be-49f4-ae4d-06be2d3148c1,adcd791c-ead3-4572-a9cb-028bbee1d2e4,True,False
352,88224abb-5746-431f-9c17-17d7ef806e6a,523f8301-4f56-4faf-ab33-a9ff11331118,True,True
353,88224abb-5746-431f-9c17-17d7ef806e6a,ae03524f-e493-4077-99b1-588244de9a98,True,True
355,0802ced5-33a3-405e-8336-b65ebc5cb07c,3eb6e6e0-8a57-49d6-b7c9-f39d5834e682,True,True
356,0802ced5-33a3-405e-8336-b65ebc5cb07c,7d999a68-0215-4e45-8e6c-879c6ca2b771,True,True
366,193fe7a8-4eb5-4f3e-815a-0c45864ddd77,7beb9419-113d-4e47-938c-68ab2657031e,True,False
372,ee40aece-cffd-4edb-a4b6-155f158c666a,41b9162e-df67-4321-b2e6-02ff851816c5,True,True
373,ee40aece-cffd-4edb-a4b6-155f158c666a,f03b61b4-6b13-479d-940f-d1608eb275cc,True,True
386,768a371d-7e88-47f8-bf21-4a6a6570dd6e,2201eb05-aebe-4bda-905e-b5cc1baf3840,True,False
387,768a371d-7e88-47f8-bf21-4a6a6570dd6e,39180bcb-13e5-46f9-89e1-8ea2cba22105,True,False
391,7416f387-b302-4ca3-8daf-03b585a1b7ec,10f59add-706e-41d0-87ed-9a55eb138a66,True,True
392,7416f387-b302-4ca3-8daf-03b585a1b7ec,caf2170c-5463-46ce-8cd0-66f2e1e3376d,True,True
402,75b6b132-d998-4fba-8482-961418ac957d,6a098711-5423-4072-8909-7cff0e2d4531,True,False
403,75b6b132-d998-4fba-8482-961418ac957d,88fe9ed9-9e3e-431a-8ecc-4cb2fe5bf448,True,False
405,56b57c38-2699-4091-90a8-aba35103155e,ce24bbe9-ae70-4659-9e9c-564d1a865de8,True,False
406,56b57c38-2699-4091-90a8-aba35103155e,ce397420-3cd2-4a55-8fd1-5e28321981f4,True,False
410,eebacd5a-7dcd-4ba6-9dff-ec2a4d2f19e0,099c0519-640b-4eb7-867c-998dc337579d,True,True
411,eebacd5a-7dcd-4ba6-9dff-ec2a4d2f19e0,df6012d0-d921-4d0a-af2a-2a91030d0f42,True,True
415,3638d102-e8b6-4230-8742-e548cd87a949,143dd7cf-6a47-47a1-906d-927ad7fe9117,True,True
422,1425bd6f-c625-4f6a-b237-dc5bcfc42c87,577e4741-4b15-4e91-b81b-61304a09bfb5,True,True
432,d901aff5-2250-467a-b4a1-0cb9729df9e2,96c816ad-9a48-46a4-8a84-9a73cc153d69,True,True
433,27ef44c0-acb2-4220-b776-477d0d5abd35,07c79864-6fff-4e72-9fce-1c982e3457f9,True,True
434,27ef44c0-acb2-4220-b776-477d0d5abd35,d23dec01-b35e-4950-9afa-72a1b3e74148,True,True
435,1ca83b26-30fc-4350-a616-c38b7d00d240,9486a103-c53e-4a60-b202-4efcc6278d44,True,False
436,1ca83b26-30fc-4350-a616-c38b7d00d240,f865ea6c-6288-4a77-9a94-ef740166e9c7,True,False
439,6c6b0d06-6039-4525-a74b-58cfaa1d3a60,3fded122-619c-4e65-aadd-d5420978d167,True,True
